,County,Sec-Twp_Rng,Company,Well,Location,Type,Permit Number,API Number,Objective,Date
522,White,4-5S-14W,Citation Oil & Gas Corp.,"Greathouse, E. S. #10","990'N line, 990'E line of NE",OIL,66197,1.21931E+11,Ullin,Jan-20
523,White,9-7S-9E,"Campbell Energy, LLC",Miller #1-A,"330'S line, 370'W line of NW",SWD,204717,1.21933E+11,Caseyville,Jan-20
524,Crawford,15-5N-11W,"LA Custom Plugging, Inc.",Maxwell #1-B,"423'N line, 430'E line of SE SW NE",OIL,66352,1.20334E+11,Spoon,Jan-21
525,Crawford,22-5N-11W,"LA Custom Plugging, Inc.","Miller, James #3-A","330'N line, 330'E line of NE NE SW",OIL,66353,1.20334E+11,Spoon,Jan-21
526,Crawford,29-7N-12W,"Maus's Well Service, Inc.",Kirk #15-A,"331'N line, 326'E line of SW SW SW",OIL,66351,1.20334E+11,Spoon,Jan-21
527,DeWitt,33-21N-3E,Kaufman Oil Co.,Ritchie - Musch Trust #1,"990'S line, 990'E line of SE SE",OIL,66343,1.20392E+11,Guttenburg,Jan-21
528,DeWitt,34-21N-4E,Kaufman Oil Co.,"McKinley, James #1-D","330'N line, 330'W line of NW NW",OIL,66344,1.20392E+11,Guttenburg,Jan-21
529,White,31-3S-11E,"Campbell Energy, LLC",Davis #1,"660'N line, 330'W line of SE NW",OIL,66346,1.21933E+11,Fort Payne,Jan-21
530,White,31-3S-11E,"Campbell Energy, LLC",Davis #3,"664'S line, 330'W line of NE SW",OIL,66345,1.21933E+11,Fort Payne,Jan-21
531,White,31-3S-11E,"Campbell Energy, LLC",Davis #5,"289'N line, 468'E line of NE SW",OIL,66349,1.21933E+11,Ullin,Jan-21
532,White,31-3S-11E,"Campbell Energy, LLC",Davis #6,"330'S line, 327'E line of SE NW",OIL,66348,1.21933E+11,Ullin,Jan-21
533,White,31-3S-11E,"Campbell Energy, LLC",Davis #7,"10'N line, 330'W line of NE SW",OIL,66347,1.21933E+11,Ullin,Jan-21
534,White,20-4S-14W,"Campbell Energy, LLC",Booth #1,"330'N line, 372'E line of NE NW",OIL,66340,1.21933E+11,Fort Payne,Jan-21
535,White,20-4S-14W,"Campbell Energy, LLC",Booth #2,"330'S line, 345'E line of NE NW",OIL,66341,1.21933E+11,Fort Payne,Jan-21
536,White,20-4S-14W,"Campbell Energy, LLC",Crossville Lease #2,"360'N line, 10'E line of NW NW NE",OIL,66342,1.21933E+11,Fort Payne,Jan-21
537,White,28-6S-10E,"Basnett, John R.",Ackerman #5,"390'N line, 330'W line of SW SE",OIL,66350,1.21933E+11,Ullin,Jan-21
538,Clinton,35-1N-4W,"Lockwood, Ronald G.",Kuhlengel #1-L,"550'N line, 330'W line of NW",OIL,65637,1.20273E+11,Edgewood,Jul-18
539,Clinton,35-1N-4W,"Lockwood, Ronald G.",Kuhlengel #2-L,"330'N line, 330'E line of NW NW",OIL,65636,1.20273E+11,Edgewood,Jul-18
540,Fayette,18-6N-3E,"Belden, W. L.","Reece, Edna #5-C","280'S line, 330'E line of SE SW NW",OIL,65630,1.20513E+11,Aux Vases,Jul-18
541,Franklin,12-7S-2E,"Lampley Oil, Inc.","Orient ""E"" #9-WI","330'S line, 330'W line of NW NE",WI,204631,1.2055E+11,Aux Vases,Jul-18
542,Hamilton,34-5S-7E,"Pioneer Oil Co., Inc.",Atteberry #1,"275'N line, 330'E line of NE NE",OIL,65641,1.20653E+11,Grand Tow,Jul-18
543,Hamilton,14-6S-5E,"Bi-Petro, Inc.",Culpepper #1-B,"330'S line, 500'W line of SW SE",OIL,65633,1.20653E+11,Warsaw,Jul-18
544,Jasper,8-5N-10E,Citation Oil & Gas Corp.,"Rotramel, W. S. #6","980'N line, 910'E line of SE SE",OIL,65650,1.20792E+11,Salem,Jul-18
545,Jefferson,31-4S-3E,Gesell's Pump Sales & Service,Karber Trust #1,"330'S line, 330'E line of SE NE",OIL,65646,1.20813E+11,Platteville,Jul-18
546,Lawrence,16-3N-12W,"CDG Operations, LLC","Gillespie, Walter #14-CDG","330'S line, 330'W line of NE NW",OIL,65638,1.21013E+11,Salem,Jul-18
547,Lawrence,26-3N-12W,"CDG Operations, LLC","Leighty, E. a/c 1 #124-CDG","563'N line, 541'E line of SW SW",OIL,65640,1.21013E+11,Salem,Jul-18
548,Lawrence,26-3N-12W,"CDG Operations, LLC","Leighty, E. a/c 1 #126-CDG","35'S line, 464'E line of NE SW",OIL,65639,1.21013E+11,Salem,Jul-18
549,Lawrence,34-3N-12W,"CDG Operations, LLC","Gee, S. J. a/c 1 #67-CDG","401'N line, 74'E line of SE NE",OIL,65647,1.21013E+11,Salem,Jul-18
550,Lawrence,34-3N-12W,"CDG Operations, LLC","Vandermark, L. A. #38-CDG","141'S line, 459'W line of NE NE",OIL,65648,1.21013E+11,Salem,Jul-18
551,Macon,24-17N-2E,Podolsky Oil Co.,Schwarze Community #7,"990'N line, 330'W line of NW SW",OIL,65649,1.21152E+11,Pre-Cambr,Jul-18
552,Marion,33-4N-4E,Deep Rock Energy Corp.,Warren #3A-DIR,"50'S line, 132'E line of NW SW",OIL,65645,1.21213E+11,Salem,Jul-18
553,Richland,30-3N-9E,"Countrymark Energy Resources, LLC",Hout #3,"332'S line, 330'W line of SW SW",OIL,65632,1.21593E+11,Salem,Jul-18
554,Wabash,1-2S-14W,"Dee Drilling Co., Inc.",Pfeister #1,"330'S line, 24'W line of SE SW",OIL,65644,1.21853E+11,Cypress,Jul-18
555,Wayne,25-1N-6E,"Countrymark Energy Resources, LLC","Ellison, V. #2","333'N line, 367'E line of SW SE",OIL,65634,1.21913E+11,Salem,Jul-18
556,White,36-3S-10E,Shawnee Exploration Partners LLC,"Hanks, Hubert #1-WIW","330'S line, 660'W line of NE NW",WI,204630,1.21933E+11,Salem,Jul-18
557,White,15-4S-10E,"ACF Resources, LLC",Higg #2,"330'N line, 330'W line of SE SE",OIL,65642,1.2193E+11,Fort Payne,Jul-18
558,White,22-4S-10E,"ACF Resources, LLC","David, Doc #1","330'N line, 330'E line of NW NE",OIL,65643,1.2193E+11,Fort Payne,Jul-18
559,White,27-4S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #C-7","1650'N line, 1662'W line of SE",OIL,65635,1.2193E+11,Warsaw,Jul-18
560,White,4-5S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #72","430'N line, 330'W line of SW",OIL,65631,1.21933E+11,Warsaw,Jul-18
561,Clark,7-11N-14W,Partlow Enterprises,"Gibson, Florence #1","330'N line, 660'W line of SW SE",OIL,66045,1.20232E+11,Lingle,Jul-19
562,Clark,17-11N-14W,Partlow Enterprises,C Unit #11,"330'S line, 220'W line of NE SW",OIL,66029,1.20233E+11,Carper,Jul-19
563,Clark,17-11N-14W,Partlow Enterprises,C Unit #6,"990'S line, 220'W line of SE SW",OIL,66028,1.20233E+11,Carper,Jul-19
564,Clay,19-5N-7E,Dillon Energy,Specht #3,"330'N line, 330'E line of SE NE NE",OIL,66052,1.20253E+11,St Louis,Jul-19
565,Crawford,30-6N-12W,Rinsch Oil,Alumbaugh #5-A,"115'N line, 656'E line of NE SW",OIL,66044,1.20334E+11,Robinson,Jul-19
566,Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #DW-2","0'S line, 650'W line of SW SW",WI,204620,1.20334E+11,Robinson,Jul-19
567,Crawford,2-7N-13W,B & D Resources,Robinson East #19,"660'S line, 330'E line of SE SW SE",OIL,66054,1.20334E+11,Robinson,Jul-19
